allele	country	samples	earliest_year	latest_year
WP_002226625.1	Netherlands	32	1967	2006
WP_002226625.1	Iceland	1	1977	1977
WP_002226625.1	United Kingdom	46	1985	2023
WP_002226625.1	New Zealand	114	1990	2022
WP_002226625.1	Greece	1	1992	1992
WP_002226625.1	USA	12	2000	2018
WP_002226625.1	Germany	2	2002	2002
WP_002226625.1	Norway	4	2002	2010
WP_002226625.1	Taiwan	1	2007	2007
WP_002226625.1	Thailand	3	2009	2014
WP_002226625.1	Portugal	4	2013	2020
WP_002226625.1	Belgium	17	2016	2022
WP_002226625.1	Czech Republic	2	2016	2016
WP_002248791.1	China	5	1978	2024
WP_002248791.1	Netherlands	118	1984	2006
WP_002248791.1	Norway	92	1988	2025
WP_002248791.1	New Zealand	269	1990	2024
WP_002248791.1	USA	336	2000	2025
WP_002248791.1	Czech Republic	6	2001	2017
WP_002248791.1	Germany	2	2002	2002
WP_002248791.1	Taiwan	19	2003	2017
WP_002248791.1	United Kingdom	253	2008	2023
WP_002248791.1	Thailand	3	2009	2014
WP_002248791.1	Portugal	18	2013	2020
WP_002248791.1	Belgium	50	2016	2022
WP_002248791.1	Japan	6	2017	2017
WP_002248791.1	Australia	5	2021	2021
WP_002248791.1	Ireland	9	2023	2023
WP_002248791.1	Switzerland	1	2023	2023
