allele	country	collection_year	samples
WP_002226625.1	Belgium	2016	5
WP_002226625.1	Belgium	2017	2
WP_002226625.1	Belgium	2018	3
WP_002226625.1	Belgium	2019	3
WP_002226625.1	Belgium	2020	2
WP_002226625.1	Belgium	2022	2
WP_002226625.1	Czech Republic	2016	2
WP_002226625.1	Germany	2002	2
WP_002226625.1	Greece	1992	1
WP_002226625.1	Iceland	1977	1
WP_002226625.1	Netherlands	1967	2
WP_002226625.1	Netherlands	1979	2
WP_002226625.1	Netherlands	2006	28
WP_002226625.1	New Zealand	1990	2
WP_002226625.1	New Zealand	1991	9
WP_002226625.1	New Zealand	1992	3
WP_002226625.1	New Zealand	1993	3
WP_002226625.1	New Zealand	1994	2
WP_002226625.1	New Zealand	1995	2
WP_002226625.1	New Zealand	1996	3
WP_002226625.1	New Zealand	1997	13
WP_002226625.1	New Zealand	1998	2
WP_002226625.1	New Zealand	1999	1
WP_002226625.1	New Zealand	2000	4
WP_002226625.1	New Zealand	2001	2
WP_002226625.1	New Zealand	2002	12
WP_002226625.1	New Zealand	2003	3
WP_002226625.1	New Zealand	2004	1
WP_002226625.1	New Zealand	2005	4
WP_002226625.1	New Zealand	2006	9
WP_002226625.1	New Zealand	2007	10
WP_002226625.1	New Zealand	2008	4
WP_002226625.1	New Zealand	2009	1
WP_002226625.1	New Zealand	2010	4
WP_002226625.1	New Zealand	2011	2
WP_002226625.1	New Zealand	2013	5
WP_002226625.1	New Zealand	2014	3
WP_002226625.1	New Zealand	2015	4
WP_002226625.1	New Zealand	2016	2
WP_002226625.1	New Zealand	2017	1
WP_002226625.1	New Zealand	2020	2
WP_002226625.1	New Zealand	2022	1
WP_002226625.1	Norway	2002	2
WP_002226625.1	Norway	2003	1
WP_002226625.1	Norway	2010	1
WP_002226625.1	Portugal	2013	1
WP_002226625.1	Portugal	2014	1
WP_002226625.1	Portugal	2018	1
WP_002226625.1	Portugal	2020	1
WP_002226625.1	Taiwan	2007	1
WP_002226625.1	Thailand	2009	1
WP_002226625.1	Thailand	2014	2
WP_002226625.1	USA	2000	1
WP_002226625.1	USA	2001	2
WP_002226625.1	USA	2002	1
WP_002226625.1	USA	2006	1
WP_002226625.1	USA	2008	1
WP_002226625.1	USA	2013	2
WP_002226625.1	USA	2015	1
WP_002226625.1	USA	2016	2
WP_002226625.1	USA	2018	1
WP_002226625.1	United Kingdom	1985	1
WP_002226625.1	United Kingdom	2010	10
WP_002226625.1	United Kingdom	2011	16
WP_002226625.1	United Kingdom	2012	5
WP_002226625.1	United Kingdom	2019	1
WP_002226625.1	United Kingdom	2022	8
WP_002226625.1	United Kingdom	2023	5
WP_002248791.1	Australia	2021	5
WP_002248791.1	Belgium	2016	12
WP_002248791.1	Belgium	2017	8
WP_002248791.1	Belgium	2018	5
WP_002248791.1	Belgium	2019	11
WP_002248791.1	Belgium	2020	6
WP_002248791.1	Belgium	2021	1
WP_002248791.1	Belgium	2022	7
WP_002248791.1	China	1978	1
WP_002248791.1	China	1979	1
WP_002248791.1	China	2010	1
WP_002248791.1	China	2016	1
WP_002248791.1	China	2024	1
WP_002248791.1	Czech Republic	2001	1
WP_002248791.1	Czech Republic	2015	2
WP_002248791.1	Czech Republic	2017	3
WP_002248791.1	Germany	2002	2
WP_002248791.1	Ireland	2023	9
WP_002248791.1	Japan	2017	6
WP_002248791.1	Netherlands	1984	3
WP_002248791.1	Netherlands	1986	3
WP_002248791.1	Netherlands	2006	112
WP_002248791.1	New Zealand	1990	3
WP_002248791.1	New Zealand	1991	11
WP_002248791.1	New Zealand	1992	6
WP_002248791.1	New Zealand	1993	4
WP_002248791.1	New Zealand	1994	4
WP_002248791.1	New Zealand	1995	3
WP_002248791.1	New Zealand	1996	5
WP_002248791.1	New Zealand	1997	14
WP_002248791.1	New Zealand	1998	5
WP_002248791.1	New Zealand	1999	2
WP_002248791.1	New Zealand	2000	4
WP_002248791.1	New Zealand	2001	3
WP_002248791.1	New Zealand	2002	12
WP_002248791.1	New Zealand	2003	4
WP_002248791.1	New Zealand	2004	2
WP_002248791.1	New Zealand	2005	5
WP_002248791.1	New Zealand	2006	13
WP_002248791.1	New Zealand	2007	7
WP_002248791.1	New Zealand	2008	3
WP_002248791.1	New Zealand	2009	3
WP_002248791.1	New Zealand	2010	4
WP_002248791.1	New Zealand	2011	4
WP_002248791.1	New Zealand	2013	6
WP_002248791.1	New Zealand	2014	11
WP_002248791.1	New Zealand	2015	6
WP_002248791.1	New Zealand	2016	17
WP_002248791.1	New Zealand	2017	25
WP_002248791.1	New Zealand	2018	12
WP_002248791.1	New Zealand	2019	22
WP_002248791.1	New Zealand	2020	12
WP_002248791.1	New Zealand	2021	15
WP_002248791.1	New Zealand	2022	15
WP_002248791.1	New Zealand	2023	4
WP_002248791.1	New Zealand	2024	3
WP_002248791.1	Norway	1988	3
WP_002248791.1	Norway	2000	12
WP_002248791.1	Norway	2001	6
WP_002248791.1	Norway	2002	7
WP_002248791.1	Norway	2003	13
WP_002248791.1	Norway	2004	6
WP_002248791.1	Norway	2005	3
WP_002248791.1	Norway	2006	6
WP_002248791.1	Norway	2007	8
WP_002248791.1	Norway	2008	3
WP_002248791.1	Norway	2009	7
WP_002248791.1	Norway	2010	3
WP_002248791.1	Norway	2011	2
WP_002248791.1	Norway	2012	2
WP_002248791.1	Norway	2014	2
WP_002248791.1	Norway	2015	1
WP_002248791.1	Norway	2016	1
WP_002248791.1	Norway	2018	1
WP_002248791.1	Norway	2021	1
WP_002248791.1	Norway	2023	2
WP_002248791.1	Norway	2024	2
WP_002248791.1	Norway	2025	1
WP_002248791.1	Portugal	2013	1
WP_002248791.1	Portugal	2014	2
WP_002248791.1	Portugal	2015	1
WP_002248791.1	Portugal	2017	4
WP_002248791.1	Portugal	2018	3
WP_002248791.1	Portugal	2019	4
WP_002248791.1	Portugal	2020	3
WP_002248791.1	Switzerland	2023	1
WP_002248791.1	Taiwan	2003	2
WP_002248791.1	Taiwan	2004	3
WP_002248791.1	Taiwan	2005	2
WP_002248791.1	Taiwan	2006	4
WP_002248791.1	Taiwan	2007	4
WP_002248791.1	Taiwan	2008	1
WP_002248791.1	Taiwan	2010	2
WP_002248791.1	Taiwan	2017	1
WP_002248791.1	Thailand	2009	1
WP_002248791.1	Thailand	2014	2
WP_002248791.1	USA	2000	6
WP_002248791.1	USA	2001	11
WP_002248791.1	USA	2002	9
WP_002248791.1	USA	2003	10
WP_002248791.1	USA	2004	7
WP_002248791.1	USA	2005	4
WP_002248791.1	USA	2006	23
WP_002248791.1	USA	2007	12
WP_002248791.1	USA	2008	9
WP_002248791.1	USA	2010	1
WP_002248791.1	USA	2011	12
WP_002248791.1	USA	2012	6
WP_002248791.1	USA	2013	8
WP_002248791.1	USA	2014	2
WP_002248791.1	USA	2015	99
WP_002248791.1	USA	2016	43
WP_002248791.1	USA	2017	11
WP_002248791.1	USA	2018	16
WP_002248791.1	USA	2019	11
WP_002248791.1	USA	2021	2
WP_002248791.1	USA	2022	5
WP_002248791.1	USA	2023	17
WP_002248791.1	USA	2024	10
WP_002248791.1	USA	2025	2
WP_002248791.1	United Kingdom	2008	2
WP_002248791.1	United Kingdom	2009	4
WP_002248791.1	United Kingdom	2010	42
WP_002248791.1	United Kingdom	2011	82
WP_002248791.1	United Kingdom	2012	35
WP_002248791.1	United Kingdom	2015	9
WP_002248791.1	United Kingdom	2016	3
WP_002248791.1	United Kingdom	2019	32
WP_002248791.1	United Kingdom	2022	29
WP_002248791.1	United Kingdom	2023	15
